Iteration,Page_1,Page_2,Page_3,Page_4
0,0.25,0.25,0.25,0.25
1,0.25,0.14375,0.56875,0.0375
2,0.520937,0.14375,0.297813,0.0375
3,0.290641,0.258898,0.412961,0.0375
4,0.388517,0.161022,0.412961,0.0375
5,0.388517,0.20262,0.371364,0.0375
6,0.353159,0.20262,0.406721,0.0375
7,0.383213,0.187593,0.391694,0.0375
8,0.37044,0.200366,0.391694,0.0375
9,0.37044,0.194937,0.397123,0.0375
10,0.375054,0.194937,0.392509,0.0375
11,0.371132,0.196898,0.39447,0.0375
12,0.372799,0.195231,0.39447,0.0375
13,0.372799,0.19594,0.393761,0.0375
14,0.372197,0.19594,0.394363,0.0375
15,0.372709,0.195684,0.394107,0.0375
16,0.372491,0.195901,0.394107,0.0375
17,0.372491,0.195809,0.3942,0.0375
18,0.37257,0.195809,0.394121,0.0375
19,0.372503,0.195842,0.394155,0.0375
20,0.372531,0.195814,0.394155,0.0375
21,0.372531,0.195826,0.394143,0.0375
22,0.372521,0.195826,0.394153,0.0375
23,0.37253,0.195822,0.394149,0.0375
24,0.372526,0.195825,0.394149,0.0375
25,0.372526,0.195824,0.39415,0.0375
26,0.372528,0.195824,0.394149,0.0375
27,0.372526,0.195824,0.394149,0.0375
28,0.372527,0.195824,0.394149,0.0375
29,0.372527,0.195824,0.394149,0.0375
30,0.372527,0.195824,0.394149,0.0375
