Iteration,Page_1,Page_2,Page_3,Page_4,Page_5,Page_6,Page_7,Page_8
0,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
1,0.305625,0.107292,0.107292,0.107292,0.093125,0.093125,0.093125,0.093125
2,0.258964,0.144922,0.144922,0.144922,0.0765677,0.0765677,0.0765677,0.0765677
3,0.322295,0.124664,0.124664,0.124664,0.075928,0.075928,0.075928,0.075928
4,0.284142,0.142336,0.142336,0.142336,0.0722123,0.0722123,0.0722123,0.0722123
5,0.315609,0.129947,0.129947,0.129947,0.0736374,0.0736374,0.0736374,0.0736374
6,0.293047,0.139469,0.139469,0.139469,0.0721369,0.0721369,0.0721369,0.0721369
7,0.310214,0.132438,0.132438,0.132438,0.0731178,0.0731178,0.0731178,0.0731178
8,0.297484,0.137719,0.137719,0.137719,0.0723396,0.0723396,0.0723396,0.0723396
9,0.307029,0.133782,0.133782,0.133782,0.0729066,0.0729066,0.0729066,0.0729066
10,0.299907,0.136727,0.136727,0.136727,0.0724782,0.0724782,0.0724782,0.0724782
11,0.305232,0.134527,0.134527,0.134527,0.0727968,0.0727968,0.0727968,0.0727968
12,0.301254,0.136171,0.136171,0.136171,0.0725582,0.0725582,0.0725582,0.0725582
13,0.304227,0.134942,0.134942,0.134942,0.0727363,0.0727363,0.0727363,0.0727363
14,0.302005,0.135861,0.135861,0.135861,0.0726032,0.0726032,0.0726032,0.0726032
15,0.303666,0.135175,0.135175,0.135175,0.0727027,0.0727027,0.0727027,0.0727027
16,0.302425,0.135687,0.135687,0.135687,0.0726283,0.0726283,0.0726283,0.0726283
17,0.303352,0.135304,0.135304,0.135304,0.0726839,0.0726839,0.0726839,0.0726839
18,0.302659,0.13559,0.13559,0.13559,0.0726423,0.0726423,0.0726423,0.0726423
19,0.303177,0.135376,0.135376,0.135376,0.0726734,0.0726734,0.0726734,0.0726734
20,0.30279,0.135536,0.135536,0.135536,0.0726502,0.0726502,0.0726502,0.0726502
21,0.303079,0.135417,0.135417,0.135417,0.0726675,0.0726675,0.0726675,0.0726675
22,0.302863,0.135506,0.135506,0.135506,0.0726546,0.0726546,0.0726546,0.0726546
23,0.303025,0.135439,0.135439,0.135439,0.0726642,0.0726642,0.0726642,0.0726642
24,0.302904,0.135489,0.135489,0.135489,0.072657,0.072657,0.072657,0.072657
25,0.302994,0.135452,0.135452,0.135452,0.0726624,0.0726624,0.0726624,0.0726624
26,0.302927,0.13548,0.13548,0.13548,0.0726584,0.0726584,0.0726584,0.0726584
27,0.302977,0.135459,0.135459,0.135459,0.0726614,0.0726614,0.0726614,0.0726614
28,0.30294,0.135475,0.135475,0.135475,0.0726591,0.0726591,0.0726591,0.0726591
29,0.302968,0.135463,0.135463,0.135463,0.0726608,0.0726608,0.0726608,0.0726608
30,0.302947,0.135472,0.135472,0.135472,0.0726596,0.0726596,0.0726596,0.0726596
