Iteration,Page_1,Page_2,Page_3,Page_4,Page_5,Page_6
0,0.166667,0.166667,0.166667,0.166667,0.166667,0.166667
1,0.0888889,0.195833,0.254167,0.293056,0.0791667,0.0888889
2,0.0684722,0.243472,0.339236,0.214792,0.0655556,0.0684722
3,0.0652963,0.299448,0.297552,0.210425,0.0619826,0.0652963
4,0.0644626,0.269713,0.313531,0.226404,0.0614269,0.0644626
5,0.0643329,0.280753,0.314163,0.215137,0.061281,0.0643329
6,0.0642989,0.281172,0.310118,0.218854,0.0612583,0.0642989
7,0.0642936,0.278335,0.31286,0.218965,0.0612523,0.0642936
8,0.0642922,0.280254,0.311944,0.217966,0.0612514,0.0642922
9,0.064292,0.279612,0.311916,0.218636,0.0612511,0.064292
10,0.0642919,0.279592,0.312161,0.218412,0.0612511,0.0642919
11,0.0642919,0.279764,0.311997,0.218405,0.0612511,0.0642919
12,0.0642919,0.279649,0.312052,0.218465,0.0612511,0.0642919
13,0.0642919,0.279687,0.312053,0.218424,0.0612511,0.0642919
14,0.0642919,0.279688,0.312039,0.218438,0.0612511,0.0642919
15,0.0642919,0.279678,0.312049,0.218438,0.0612511,0.0642919
16,0.0642919,0.279685,0.312045,0.218435,0.0612511,0.0642919
17,0.0642919,0.279683,0.312045,0.218437,0.0612511,0.0642919
18,0.0642919,0.279683,0.312046,0.218436,0.0612511,0.0642919
19,0.0642919,0.279683,0.312045,0.218436,0.0612511,0.0642919
20,0.0642919,0.279683,0.312046,0.218437,0.0612511,0.0642919
21,0.0642919,0.279683,0.312046,0.218436,0.0612511,0.0642919
22,0.0642919,0.279683,0.312046,0.218436,0.0612511,0.0642919
23,0.0642919,0.279683,0.312046,0.218436,0.0612511,0.0642919
24,0.0642919,0.279683,0.312046,0.218436,0.0612511,0.0642919
25,0.0642919,0.279683,0.312046,0.218436,0.0612511,0.0642919
26,0.0642919,0.279683,0.312046,0.218436,0.0612511,0.0642919
27,0.0642919,0.279683,0.312046,0.218436,0.0612511,0.0642919
28,0.0642919,0.279683,0.312046,0.218436,0.0612511,0.0642919
29,0.0642919,0.279683,0.312046,0.218436,0.0612511,0.0642919
30,0.0642919,0.279683,0.312046,0.218436,0.0612511,0.0642919
31,0.0642919,0.279683,0.312046,0.218436,0.0612511,0.0642919
32,0.0642919,0.279683,0.312046,0.218436,0.0612511,0.0642919
33,0.0642919,0.279683,0.312046,0.218436,0.0612511,0.0642919
34,0.0642919,0.279683,0.312046,0.218436,0.0612511,0.0642919
35,0.0642919,0.279683,0.312046,0.218436,0.0612511,0.0642919
36,0.0642919,0.279683,0.312046,0.218436,0.0612511,0.0642919
37,0.0642919,0.279683,0.312046,0.218436,0.0612511,0.0642919
38,0.0642919,0.279683,0.312046,0.218436,0.0612511,0.0642919
39,0.0642919,0.279683,0.312046,0.218436,0.0612511,0.0642919
40,0.0642919,0.279683,0.312046,0.218436,0.0612511,0.0642919
41,0.0642919,0.279683,0.312046,0.218436,0.0612511,0.0642919
42,0.0642919,0.279683,0.312046,0.218436,0.0612511,0.0642919
43,0.0642919,0.279683,0.312046,0.218436,0.0612511,0.0642919
44,0.0642919,0.279683,0.312046,0.218436,0.0612511,0.0642919
45,0.0642919,0.279683,0.312046,0.218436,0.0612511,0.0642919
46,0.0642919,0.279683,0.312046,0.218436,0.0612511,0.0642919
47,0.0642919,0.279683,0.312046,0.218436,0.0612511,0.0642919
48,0.0642919,0.279683,0.312046,0.218436,0.0612511,0.0642919
49,0.0642919,0.279683,0.312046,0.218436,0.0612511,0.0642919
50,0.0642919,0.279683,0.312046,0.218436,0.0612511,0.0642919
51,0.0642919,0.279683,0.312046,0.218436,0.0612511,0.0642919
52,0.0642919,0.279683,0.312046,0.218436,0.0612511,0.0642919
53,0.0642919,0.279683,0.312046,0.218436,0.0612511,0.0642919
54,0.0642919,0.279683,0.312046,0.218436,0.0612511,0.0642919
55,0.0642919,0.279683,0.312046,0.218436,0.0612511,0.0642919
56,0.0642919,0.279683,0.312046,0.218436,0.0612511,0.0642919
57,0.0642919,0.279683,0.312046,0.218436,0.0612511,0.0642919
58,0.0642919,0.279683,0.312046,0.218436,0.0612511,0.0642919
59,0.0642919,0.279683,0.312046,0.218436,0.0612511,0.0642919
60,0.0642919,0.279683,0.312046,0.218436,0.0612511,0.0642919
61,0.0642919,0.279683,0.312046,0.218436,0.0612511,0.0642919
62,0.0642919,0.279683,0.312046,0.218436,0.0612511,0.0642919
63,0.0642919,0.279683,0.312046,0.218436,0.0612511,0.0642919
64,0.0642919,0.279683,0.312046,0.218436,0.0612511,0.0642919
65,0.0642919,0.279683,0.312046,0.218436,0.0612511,0.0642919
66,0.0642919,0.279683,0.312046,0.218436,0.0612511,0.0642919
67,0.0642919,0.279683,0.312046,0.218436,0.0612511,0.0642919
68,0.0642919,0.279683,0.312046,0.218436,0.0612511,0.0642919
69,0.0642919,0.279683,0.312046,0.218436,0.0612511,0.0642919
70,0.0642919,0.279683,0.312046,0.218436,0.0612511,0.0642919
71,0.0642919,0.279683,0.312046,0.218436,0.0612511,0.0642919
72,0.0642919,0.279683,0.312046,0.218436,0.0612511,0.0642919
73,0.0642919,0.279683,0.312046,0.218436,0.0612511,0.0642919
74,0.0642919,0.279683,0.312046,0.218436,0.0612511,0.0642919
75,0.0642919,0.279683,0.312046,0.218436,0.0612511,0.0642919
76,0.0642919,0.279683,0.312046,0.218436,0.0612511,0.0642919
77,0.0642919,0.279683,0.312046,0.218436,0.0612511,0.0642919
78,0.0642919,0.279683,0.312046,0.218436,0.0612511,0.0642919
79,0.0642919,0.279683,0.312046,0.218436,0.0612511,0.0642919
80,0.0642919,0.279683,0.312046,0.218436,0.0612511,0.0642919
81,0.0642919,0.279683,0.312046,0.218436,0.0612511,0.0642919
82,0.0642919,0.279683,0.312046,0.218436,0.0612511,0.0642919
83,0.0642919,0.279683,0.312046,0.218436,0.0612511,0.0642919
84,0.0642919,0.279683,0.312046,0.218436,0.0612511,0.0642919
85,0.0642919,0.279683,0.312046,0.218436,0.0612511,0.0642919
86,0.0642919,0.279683,0.312046,0.218436,0.0612511,0.0642919
87,0.0642919,0.279683,0.312046,0.218436,0.0612511,0.0642919
88,0.0642919,0.279683,0.312046,0.218436,0.0612511,0.0642919
89,0.0642919,0.279683,0.312046,0.218436,0.0612511,0.0642919
90,0.0642919,0.279683,0.312046,0.218436,0.0612511,0.0642919
91,0.0642919,0.279683,0.312046,0.218436,0.0612511,0.0642919
92,0.0642919,0.279683,0.312046,0.218436,0.0612511,0.0642919
93,0.0642919,0.279683,0.312046,0.218436,0.0612511,0.0642919
94,0.0642919,0.279683,0.312046,0.218436,0.0612511,0.0642919
95,0.0642919,0.279683,0.312046,0.218436,0.0612511,0.0642919
96,0.0642919,0.279683,0.312046,0.218436,0.0612511,0.0642919
97,0.0642919,0.279683,0.312046,0.218436,0.0612511,0.0642919
98,0.0642919,0.279683,0.312046,0.218436,0.0612511,0.0642919
99,0.0642919,0.279683,0.312046,0.218436,0.0612511,0.0642919
100,0.0642919,0.279683,0.312046,0.218436,0.0612511,0.0642919
