Iteration,Page_1,Page_2,Page_3,Page_4,Page_5,Page_6,Page_7,Page_8,Page_9,Page_10,Page_11
0,0.0909091,0.0909091,0.0909091,0.0909091,0.0909091,0.0909091,0.0909091,0.0909091,0.0909091,0.0909091,0.0909091
1,0.0592975,0.316873,0.0979339,0.0464187,0.329752,0.0464187,0.0206612,0.0206612,0.0206612,0.0206612,0.0206612
2,0.0379464,0.260691,0.287561,0.111648,0.0994133,0.111648,0.0182184,0.0182184,0.0182184,0.0182184,0.0182184
3,0.0640191,0.407292,0.238156,0.0447357,0.118219,0.0447357,0.0165686,0.0165686,0.0165686,0.0165686,0.0165686
4,0.037596,0.313661,0.364781,0.0520787,0.0868875,0.0520787,0.0185833,0.0185833,0.0185833,0.0185833,0.0185833
5,0.0386749,0.419184,0.283154,0.0411596,0.0939602,0.0411596,0.0165415,0.0165415,0.0165415,0.0165415,0.0165415
6,0.0341177,0.340004,0.372932,0.0432469,0.0833287,0.0432469,0.0166249,0.0166249,0.0166249,0.0166249,0.0166249
7,0.0346527,0.414831,0.305276,0.0398825,0.0841117,0.0398825,0.0162727,0.0162727,0.0162727,0.0162727,0.0162727
8,0.0332641,0.354278,0.36892,0.0401457,0.0816755,0.0401457,0.0163141,0.0163141,0.0163141,0.0163141,0.0163141
9,0.0332687,0.407855,0.317343,0.0393482,0.0818031,0.0393482,0.0162068,0.0162068,0.0162068,0.0162068,0.0162068
10,0.0329301,0.363236,0.362884,0.0393847,0.0811453,0.0393847,0.0162071,0.0162071,0.0162071,0.0162071,0.0162071
11,0.0329194,0.401764,0.324932,0.0391721,0.0811356,0.0391721,0.016181,0.016181,0.016181,0.016181,0.016181
12,0.0328283,0.369287,0.35768,0.0391686,0.0809667,0.0391686,0.0161801,0.0161801,0.0161801,0.0161801,0.0161801
13,0.0328197,0.397064,0.330067,0.0391136,0.0809557,0.0391136,0.0161731,0.0161731,0.0161731,0.0161731,0.0161731
14,0.0327957,0.373534,0.353677,0.0391099,0.0809107,0.0391099,0.0161724,0.0161724,0.0161724,0.0161724,0.0161724
15,0.0327923,0.393584,0.333675,0.0390953,0.0809053,0.0390953,0.0161706,0.0161706,0.0161706,0.0161706,0.0161706
16,0.0327858,0.376566,0.350717,0.0390935,0.0808933,0.0390935,0.0161703,0.0161703,0.0161703,0.0161703,0.0161703
17,0.0327845,0.391045,0.336251,0.0390896,0.0808912,0.0390896,0.0161698,0.0161698,0.0161698,0.0161698,0.0161698
18,0.0327828,0.378745,0.348558,0.0390889,0.080888,0.0390889,0.0161697,0.0161697,0.0161697,0.0161697,0.0161697
19,0.0327824,0.389204,0.338102,0.0390878,0.0808873,0.0390878,0.0161696,0.0161696,0.0161696,0.0161696,0.0161696
20,0.0327819,0.380316,0.346993,0.0390876,0.0808864,0.0390876,0.0161695,0.0161695,0.0161695,0.0161695,0.0161695
21,0.0327817,0.387872,0.339438,0.0390873,0.0808861,0.0390873,0.0161695,0.0161695,0.0161695,0.0161695,0.0161695
22,0.0327816,0.38145,0.345861,0.0390872,0.0808859,0.0390872,0.0161695,0.0161695,0.0161695,0.0161695,0.0161695
23,0.0327816,0.386909,0.340402,0.0390872,0.0808858,0.0390872,0.0161695,0.0161695,0.0161695,0.0161695,0.0161695
24,0.0327815,0.382269,0.345042,0.0390871,0.0808858,0.0390871,0.0161695,0.0161695,0.0161695,0.0161695,0.0161695
25,0.0327815,0.386213,0.341098,0.0390871,0.0808857,0.0390871,0.0161695,0.0161695,0.0161695,0.0161695,0.0161695
26,0.0327815,0.38286,0.344451,0.0390871,0.0808857,0.0390871,0.0161695,0.0161695,0.0161695,0.0161695,0.0161695
27,0.0327815,0.38571,0.341601,0.0390871,0.0808857,0.0390871,0.0161695,0.0161695,0.0161695,0.0161695,0.0161695
28,0.0327815,0.383288,0.344023,0.0390871,0.0808857,0.0390871,0.0161695,0.0161695,0.0161695,0.0161695,0.0161695
29,0.0327815,0.385347,0.341964,0.0390871,0.0808857,0.0390871,0.0161695,0.0161695,0.0161695,0.0161695,0.0161695
